Parameter	Posterior Mean	Posterior Variance	a_post	b_post
p5.C3	0.0105903	6.24843e-08	1794.93	169488
p5.D5	0.00760578	5.44965e-08	1061.5	139565
p5.H11	0.00726918	4.04396e-08	1306.66	179754
p6.A10	0.00612195	4.69835e-08	797.691	130300
p6.B9	0.00914669	1.68119e-07	497.635	54406
p7.G11	0.0149897	1.09068e-07	2060.11	137434
p8.B9	0.0093791	5.41901e-08	1623.31	173078
p8.C7	0.0851437	8.04347e-07	9012.83	105854
p8.E4	0.0194047	1.67001e-07	2254.73	116195
p8.H7	0.109104	6.99983e-07	17005.7	155867
HB0737	0.0774445	6.42418e-07	9336.05	120552
HB0766	0.0810962	6.4134e-07	10254.5	126448
HB0814	0.0473918	3.82021e-07	5879.21	124055
NODE_57	0.00636825	4.47073e-08	907.112	142443
NODE_58	0.00383485	2.08515e-08	705.275	183912
NODE_59	0.00228891	1.23551e-08	424.042	185260
NODE_60	0.00536589	2.95271e-08	975.131	181728
NODE_61	0.0755486	7.2785e-07	7841.7	103797
NODE_62	0.0101943	5.90932e-08	1758.65	172513
NODE_63	0.0779068	8.81448e-07	6885.79	88385
NODE_64	0.0902896	6.60318e-07	12345.9	136736
NODE_65	0.0174711	1.27996e-07	2384.75	136497
NODE_66	0.015935	1.79186e-07	1417.11	88930.3
NODE_67	0.0695125	5.57154e-07	8672.63	124764
NODE_68	0.0111925	6.62584e-08	1890.64	168921
NODE_69	0.0684	5.37921e-07	8697.49	127156
NODE_70	0.0124222	9.17531e-08	1681.81	135387
NODE_71	0.0103169	7.04843e-08	1510.1	146372
NODE_72	0.00849536	5.78927e-08	1246.63	146743
NODE_73	0.0150133	2.45449e-07	918.308	61166.5
NODE_74	0.00944619	6.18712e-08	1442.2	152675
NODE_75	0.00621149	3.96769e-08	972.42	156552
NODE_76	0.0100341	1.12477e-07	895.142	89210
NODE_77	0.00904036	5.42558e-08	1506.35	166625
NODE_78	0.00539985	3.10606e-08	938.758	173849
NODE_79	0.00516607	2.89825e-08	920.842	178248
NODE_80	0.00909089	5.38566e-08	1534.53	168798
NODE_81	0.00752986	4.44961e-08	1274.24	169225
NODE_82	0.00874109	6.50486e-08	1174.61	134378
NODE_83	0.00685018	3.88938e-08	1206.49	176126
NODE_84	0.00956658	8.0447e-08	1137.64	118918
NODE_85	0.00982935	5.91925e-08	1632.24	166057
NODE_86	0.00761283	4.33449e-08	1337.07	175634
NODE_87	0.0191171	1.99377e-07	1833.03	95884.4
NODE_88	0.0189977	1.80342e-07	2001.28	105343
NODE_89	0.0138581	1.01701e-07	1888.35	136263
NODE_90	0.074791	7.30549e-07	7656.84	102376
NODE_91	0.0908393	1.05624e-06	7812.4	86002.3
NODE_92	0.0145861	1.00573e-07	2115.41	145030
NODE_98	0.0114076	9.16988e-08	1419.15	124403
NODE_99	0.00859005	4.8946e-08	1507.56	175500
NODE_100	0.0125552	7.78288e-08	2025.37	161317
NODE_101	0.00634183	4.33719e-08	927.301	146220
NODE_102	0.00665151	3.84916e-08	1149.41	172804
NODE_103	0.00392016	2.29712e-08	668.998	170656
NODE_104	0.00317241	1.79013e-08	562.203	177216
NODE_105	0.005754	3.90369e-08	848.135	147399
NODE_106	0.0824356	9.0037e-07	7547.59	91557.5
NODE_107	0.00407984	2.24024e-08	743.004	182116
NODE_108	0.00482329	2.6618e-08	873.999	181204
NODE_109	0.00208845	1.12619e-08	387.291	185444
