Node	Beg	End
p22.C1	70245	70699
p22.C1	77357	78046
p22.C1	80328	80716
p22.C1	81899	84082
p22.C1	85371	86353
p22.C1	89508	91107
p22.C1	95714	96334
p22.C1	97997	98868
p22.C1	99972	100497
p22.C1	102803	103554
p22.C1	107763	108398
p22.C1	110684	113806
p22.C1	114297	114905
p22.C1	119962	121762
p22.C1	129547	130608
p22.C1	130902	133455
p22.C1	138150	138924
p22.C1	141838	142431
p22.C1	148007	148652
p22.C1	148928	150049
p22.C1	150282	151890
p22.C1	158163	158587
p22.C1	160024	160348
p22.C1	162888	163301
p22.C1	167982	169083
p22.C1	170919	171532
p22.C1	174581	175338
p22.D1	137544	137589
p22.D4	141816	142340
p23.A3	3685	4329
p23.A3	4491	5150
p23.A3	6316	6812
p23.A3	7623	9060
p23.A3	10886	11450
p23.A3	12052	12617
p23.A3	12750	13129
p23.A3	13938	14289
p23.A3	15635	16202
p23.A3	20140	21180
p23.A3	22929	23312
p23.A3	24187	26339
p23.A3	27053	27717
p23.A3	28413	28639
p23.A3	28694	29779
p23.A3	30926	31210
p23.A3	32470	33545
p23.A3	36331	36830
p23.A3	40405	42367
p23.A3	43185	43728
p23.A3	46073	46251
p23.A3	47041	49183
p23.A3	50668	51130
p23.A3	52258	52787
p23.A3	53456	53744
p23.A3	57508	57729
p23.A3	59179	59610
p23.A3	59715	60062
p23.A3	60144	60518
p23.A3	62669	63304
p23.A3	64108	64348
p23.A3	66081	66511
p23.A3	69609	69897
p23.A3	74816	75318
p23.A3	77016	78661
p23.A3	83607	84549
p23.A3	85992	86295
p23.A3	87049	87649
p23.A3	91027	91258
p23.A3	91847	92409
p23.A3	92622	93387
p23.A3	95177	95453
p23.A3	95903	96135
p23.A3	101751	101913
p23.A3	102624	104266
p23.A3	105481	105847
p23.A3	108163	109069
p23.A3	109937	110671
p23.A3	112940	114754
p23.A3	117568	117803
p23.A3	118873	119573
p23.A3	122914	123716
p23.A3	124709	125806
p23.A3	131329	133906
p23.A3	134703	136307
p23.A3	137569	138683
p23.A3	139548	139972
p23.A3	140318	140754
p23.A3	141471	141943
p23.A3	151493	151767
p23.A3	154005	154382
p23.A3	155160	155442
p23.A3	157430	157871
p23.A3	159137	160028
p23.A3	164649	164885
p23.A3	165987	166641
p23.A3	167651	168628
p23.A3	172758	173568
p23.A3	175920	176528
p23.B8	112794	113439
p23.B8	147808	148831
p24.B5	3624	4800
p24.B5	14862	15632
p24.B5	17337	17984
p24.B5	23287	24537
p24.B5	27271	28147
p24.B5	33591	35529
p24.B5	37310	39175
p24.B5	49589	51246
p24.B5	51976	53084
p24.B5	64941	65765
p24.B5	71567	73056
p24.B5	75567	77083
p24.B5	81777	82439
p24.B5	87214	90922
p24.B5	98000	99852
p24.B5	100040	100454
p24.B5	111900	112844
p24.B5	117552	118570
p24.B5	120056	122146
p24.B5	125655	126657
p24.B5	135814	136635
p24.B5	143224	144503
p24.B5	150066	151077
p24.B5	157599	158536
p24.B5	162107	162539
p24.B5	173109	173925
p24.B5	175863	176528
p24.H2	23204	23925
p24.H2	24217	25091
p24.H2	47078	48110
p24.H2	81194	81708
p24.H2	86142	86947
p24.H2	101845	103156
p24.H2	151060	152586
p25.C11	1	22530
p25.C11	22855	40503
p25.C11	40838	65713
p25.C11	66468	86102
p25.C11	86638	94207
p25.C11	94732	136602
p25.C11	137063	156151
p25.C11	156619	176528
p26.B7	1383	2531
p26.B7	4061	4598
p26.B7	6767	7561
p26.B7	8294	12197
p26.B7	18181	19908
p26.B7	23183	23800
p26.B7	28174	28662
p26.B7	29169	30576
p26.B7	31424	32980
p26.B7	35213	38053
p26.B7	41985	42939
p26.B7	61184	62579
p26.B7	73043	76657
p26.B7	90287	91925
p26.B7	92447	93142
p26.B7	100041	100718
p26.B7	102578	103857
p26.B7	106708	108547
p26.B7	113630	114079
p26.B7	115574	118287
p26.B7	130851	132551
p26.B7	132850	134409
p26.B7	135242	136251
p26.B7	145629	146666
p26.B7	148520	149623
p26.B7	151840	152456
p26.B7	167115	168212
p26.B7	168806	170520
p26.B7	171959	174359
p26.E7	933	1892
p26.E7	15828	16436
p26.E7	169707	171467
p27.D6	448	1608
p27.D6	1972	3226
p27.D6	3550	4623
p27.D6	5846	7047
p27.D6	8213	9303
p27.D6	12843	14520
p27.D6	16212	16871
p27.D6	22232	25637
p27.D6	30517	31799
p27.D6	34697	35265
p27.D6	37763	38688
p27.D6	47143	51398
p27.D6	58112	58535
p27.D6	60285	61830
p27.D6	65181	66103
p27.D6	76134	79011
p27.D6	79834	80445
p27.D6	81390	82180
p27.D6	84396	86733
p27.D6	87030	87942
p27.D6	95356	96159
p27.D6	98185	100426
p27.D6	101236	105192
p27.D6	105342	109671
p27.D6	113824	114593
p27.D6	116315	119151
p27.D6	124724	126416
p27.D6	133778	134814
p27.D6	139558	140807
p27.D6	141376	142230
p27.D6	142716	144615
p27.D6	148653	149387
p27.D6	150761	154072
p27.D6	156383	156990
p27.D6	162641	163540
p27.D6	164256	164891
p27.D6	167206	169349
p27.F2	2332	3110
p27.F2	22056	22625
p27.F2	23261	23959
p27.F2	28337	28780
p27.F2	34943	35334
p27.F2	41182	41624
p27.F2	58973	59583
p27.F2	64941	65242
p27.F2	75530	77409
p27.F2	81906	84055
p27.F2	85662	86387
p27.F2	98130	99105
p27.F2	99968	100787
p27.F2	101814	102254
p27.F2	104526	104876
p27.F2	105218	105749
p27.F2	108607	109448
p27.F2	114715	115154
p27.F2	121814	122146
p27.F2	142132	142694
p27.F2	150943	151803
p3.F8	1	3612
p3.F8	4566	47488
p3.F8	49470	63255
p3.F8	64426	69500
p3.F8	71477	81807
p3.F8	83712	93120
p3.F8	96740	101793
p3.F8	103296	113309
p3.F8	114614	115332
p3.F8	116025	117436
p3.F8	118818	154870
p3.F8	158436	161589
p3.F8	163095	167354
p3.F8	168372	176528
p3.G9	2111	2964
p3.G9	3513	4760
p3.G9	4981	5638
p3.G9	5913	6628
p3.G9	7891	9064
p3.G9	9687	10488
p3.G9	11535	11839
p3.G9	11992	13536
p3.G9	17934	18483
p3.G9	19836	20734
p3.G9	21258	22125
p3.G9	22692	23975
p3.G9	25323	25893
p3.G9	26247	26797
p3.G9	27035	27910
p3.G9	29190	29560
p3.G9	30822	31252
p3.G9	31532	31926
p3.G9	32776	35241
p3.G9	35851	37080
p3.G9	38022	38861
p3.G9	40133	42052
p3.G9	42313	43632
p3.G9	46411	48260
p3.G9	49259	50179
p3.G9	50649	52907
p3.G9	53918	54138
p3.G9	55088	57034
p3.G9	63279	63939
p3.G9	64021	64928
p3.G9	66270	66635
p3.G9	70083	72726
p3.G9	73006	73314
p3.G9	75407	76823
p3.G9	78820	81772
p3.G9	83794	86656
p3.G9	86953	87424
p3.G9	87610	88819
p3.G9	90621	92012
p3.G9	92979	93836
p3.G9	95531	96371
p3.G9	97043	97625
p3.G9	97837	98978
p3.G9	103300	103672
p3.G9	104417	106753
p3.G9	107543	107914
p3.G9	113352	114611
p3.G9	116851	118525
p3.G9	120757	122497
p3.G9	123399	125473
p3.G9	125724	129679
p3.G9	132841	133161
p3.G9	136455	137009
p3.G9	137804	140753
p3.G9	141189	141810
p3.G9	142343	142743
p3.G9	143513	143788
p3.G9	144592	145425
p3.G9	145731	147207
p3.G9	147550	147859
p3.G9	149373	149625
p3.G9	149889	150946
p3.G9	151722	152193
p3.G9	152484	155412
p3.G9	156901	159688
p3.G9	160209	161304
p3.G9	162005	162591
p3.G9	162780	163263
p3.G9	166076	166392
p3.G9	167109	167603
p3.G9	167725	169818
p3.G9	171746	172538
p3.G9	173433	173897
p4.D2	9110	9879
p4.D2	14968	15651
p4.D2	17623	17959
p4.D2	23345	24077
p4.D2	27204	28660
p4.D2	34625	35454
p4.D2	38237	39211
p4.D2	46267	46990
p4.D2	50173	50497
p4.D2	52743	53093
p4.D2	58533	59366
p4.D2	71795	72366
p4.D2	75920	78063
p4.D2	81636	83463
p4.D2	87600	88707
p4.D2	89203	89889
p4.D2	90262	90927
p4.D2	92441	92917
p4.D2	99118	100477
p4.D2	101837	102373
p4.D2	107834	110195
p4.D2	111968	112785
p4.D2	120486	121189
p4.D2	126099	126510
p4.D2	141141	141470
p4.D2	142086	142593
p4.D2	143558	143901
p4.D2	148558	149246
p4.D2	150933	151562
p4.D2	155835	156461
p4.D2	157595	158135
p4.D2	163533	164405
p4.D2	169458	170268
p4.E5	13316	13916
p4.E5	26094	26345
p5.C1	6728	8150
p5.C1	11000	12752
p5.C1	32393	32519
p5.C1	34603	34922
p5.C1	35950	36038
p5.C1	39646	39943
p5.C1	41615	42305
p5.C1	61001	61406
p5.C1	62359	63011
p5.C1	65239	65764
p5.C1	72273	72435
p5.C1	75034	75202
p5.C1	107162	107921
p5.C1	110882	110992
p5.C1	119064	119815
p5.C1	120327	120928
p5.C1	134843	134950
p5.C3	47799	48184
p5.C3	76809	76937
p5.D5	405	2915
p5.D5	7611	13768
p5.D5	16103	16578
p5.D5	39239	40314
p5.D5	54872	59329
p5.D5	65811	67425
p5.D5	73221	73686
p5.D5	77308	78140
p5.D5	82642	84505
p5.D5	90369	91238
p5.D5	91778	93099
p5.D5	96034	97140
p5.D5	103946	104244
p5.D5	109807	112268
p5.D5	118242	118980
p5.D5	127294	128130
p5.D5	136224	136654
p5.D5	144374	145619
p5.D5	155897	160033
p5.D5	161036	166509
p5.D5	168255	168627
p5.D5	169829	170127
p5.D5	172132	175954
p6.A10	362	755
p6.A10	1523	2315
p6.A10	5411	6138
p6.A10	6620	6960
p6.A10	8083	9148
p6.A10	10375	12004
p6.A10	12717	12812
p6.A10	20015	20079
p6.A10	20915	21985
p6.A10	24389	27286
p6.A10	28355	29529
p6.A10	32923	33237
p6.A10	33881	35770
p6.A10	38718	39811
p6.A10	41102	41851
p6.A10	42330	44259
p6.A10	46730	47114
p6.A10	48000	48829
p6.A10	53528	54438
p6.A10	55153	56084
p6.A10	56589	58125
p6.A10	61067	63046
p6.A10	63565	63814
p6.A10	65092	67593
p6.A10	70614	72414
p6.A10	76066	76553
p6.A10	77182	77488
p6.A10	80304	81034
p6.A10	82313	83197
p6.A10	86127	86581
p6.A10	89912	90234
p6.A10	92543	93220
p6.A10	94484	95776
p6.A10	96360	99284
p6.A10	99908	100309
p6.A10	105973	106727
p6.A10	107164	107868
p6.A10	108415	110075
p6.A10	117708	118219
p6.A10	118698	118833
p6.A10	119695	120817
p6.A10	122463	123236
p6.A10	125941	127010
p6.A10	128258	131638
p6.A10	133370	133832
p6.A10	135044	135826
p6.A10	139106	140653
p6.A10	141972	142382
p6.A10	142819	142870
p6.A10	145845	146564
p6.A10	147972	149337
p6.A10	149846	150380
p6.A10	151109	151253
p6.A10	154411	155956
p6.A10	159540	161412
p6.A10	161882	162751
p6.A10	165112	166137
p6.A10	166509	166812
p6.A10	170888	171217
p6.A10	171690	171756
p6.B9	1	4999
p6.B9	5341	12284
p6.B9	13266	13608
p6.B9	14505	40384
p6.B9	41881	47403
p6.B9	48414	48824
p6.B9	49330	76291
p6.B9	76985	86770
p6.B9	87193	93224
p6.B9	94746	101119
p6.B9	101651	113452
p6.B9	114345	115253
p6.B9	115708	167432
p6.B9	168062	169031
p6.B9	169743	176528
p7.G11	4357	5624
p7.G11	11854	13046
p7.G11	14701	15752
p7.G11	20994	23785
p7.G11	41950	44235
p7.G11	45696	49030
p7.G11	70189	70844
p7.G11	75570	75921
p7.G11	82443	84510
p7.G11	100469	101276
p7.G11	114768	115734
p7.G11	129800	130524
p7.G11	152247	154276
p7.G11	157116	159188
p7.G11	165812	168081
p8.C7	3856	4378
p8.C7	4790	5348
p8.C7	7665	9133
p8.C7	10704	11423
p8.C7	15614	16311
p8.C7	20146	20840
p8.C7	21613	22157
p8.C7	24385	25401
p8.C7	25645	26525
p8.C7	28835	29773
p8.C7	32792	34109
p8.C7	36216	36751
p8.C7	38514	41441
p8.C7	47466	49374
p8.C7	51120	54385
p8.C7	57263	57812
p8.C7	63048	63823
p8.C7	64170	64726
p8.C7	67305	68489
p8.C7	76307	77071
p8.C7	79587	80885
p8.C7	83188	84296
p8.C7	85565	86982
p8.C7	93246	94175
p8.C7	95416	96283
p8.C7	102492	105431
p8.C7	108705	110685
p8.C7	113921	116027
p8.C7	119209	119584
p8.C7	122811	123674
p8.C7	131394	134180
p8.C7	135303	138332
p8.C7	146779	148188
p8.C7	150225	153345
p8.C7	154214	155259
p8.C7	158812	160026
p8.C7	160730	161463
p8.C7	167484	169674
p8.C7	172509	173553
p8.C7	175967	176528
p8.E4	900	4112
p8.E4	6933	8059
p8.E4	21469	23560
p8.E4	46935	48838
p8.E4	54382	55422
p8.E4	61318	62730
p8.E4	64675	66038
p8.E4	69791	71116
p8.E4	74509	76410
p8.E4	79710	91616
p8.E4	93545	95864
p8.E4	114256	115342
p8.E4	120789	122816
p8.E4	128254	132321
p8.E4	135914	139967
p8.E4	145760	150906
p8.E4	152365	155269
p8.E4	172015	176052
p8.H7	23157	23695
p8.H7	44031	44315
p8.H7	47267	48201
p8.H7	57495	57808
p8.H7	78184	78520
p8.H7	96436	96777
p8.H7	130364	130864
p8.H7	151734	152168
HB0737	24398	25902
HB0737	27540	29316
HB0737	39822	41948
HB0737	46781	49295
HB0737	59260	60525
HB0737	76350	77606
HB0737	92305	94277
HB0737	102372	104457
HB0737	114749	117308
HB0737	136580	138176
HB0737	146736	147510
HB0737	150329	154509
HB0737	158408	160026
HB0737	168922	169497
HB0766	7796	8396
HB0766	25520	27813
HB0766	28403	28963
HB0766	41460	42870
HB0766	50302	51319
HB0766	53009	54180
HB0766	76707	77555
HB0766	86259	87161
HB0766	108793	109380
HB0766	113741	114299
HB0766	128728	129365
HB0766	131939	133881
HB0766	152676	153240
HB0766	158597	159422
HB0766	167486	168076
HB0766	168922	169907
NODE_57	403	2928
NODE_57	7982	13425
NODE_57	16048	16525
NODE_57	39208	40285
NODE_57	54868	59650
NODE_57	65987	67347
NODE_57	73217	73719
NODE_57	77444	78150
NODE_57	82652	84454
NODE_57	90374	93137
NODE_57	95980	97550
NODE_57	109954	112221
NODE_57	118072	119161
NODE_57	127313	127949
NODE_57	136233	136647
NODE_57	144372	145574
NODE_57	155695	159709
NODE_57	160946	166557
NODE_57	172222	175877
NODE_60	166442	166580
NODE_61	3801	4775
NODE_61	12316	16810
NODE_61	17154	18070
NODE_61	18888	20602
NODE_61	21401	22045
NODE_61	22610	24448
NODE_61	25520	26525
NODE_61	28052	30234
NODE_61	33245	34328
NODE_61	36235	39048
NODE_61	39772	42435
NODE_61	46017	50406
NODE_61	53460	54328
NODE_61	58096	59072
NODE_61	70418	73210
NODE_61	76123	77194
NODE_61	87044	88080
NODE_61	92790	94677
NODE_61	95259	96165
NODE_61	97152	99869
NODE_61	102921	103462
NODE_61	113273	115815
NODE_61	121449	122414
NODE_61	122784	126797
NODE_61	130428	132488
NODE_61	133746	137765
NODE_61	148326	151070
NODE_61	153185	155311
NODE_61	161101	162239
NODE_61	166991	169886
NODE_61	172084	173565
NODE_62	12771	12917
NODE_62	57724	58137
NODE_62	59890	60528
NODE_63	1	2923
NODE_63	3925	5512
NODE_63	7568	13538
NODE_63	15861	18182
NODE_63	22612	23291
NODE_63	24400	25406
NODE_63	27034	30067
NODE_63	32689	33781
NODE_63	36041	36933
NODE_63	37477	41382
NODE_63	41640	42338
NODE_63	43358	44484
NODE_63	45575	49301
NODE_63	53929	60477
NODE_63	65966	67412
NODE_63	69836	73720
NODE_63	77182	78333
NODE_63	82606	84628
NODE_63	89352	93751
NODE_63	95005	99331
NODE_63	103585	104431
NODE_63	109542	112501
NODE_63	113334	114199
NODE_63	117562	119122
NODE_63	125542	129200
NODE_63	129729	130847
NODE_63	133609	134303
NODE_63	135402	139231
NODE_63	144319	145955
NODE_63	148644	149400
NODE_63	150518	152196
NODE_63	152784	154345
NODE_63	154978	160370
NODE_63	161035	166471
NODE_63	167236	168485
NODE_63	172120	175917
NODE_64	9231	9959
NODE_64	11792	12306
NODE_64	20256	21559
NODE_64	27832	28646
NODE_64	57497	57883
NODE_64	65073	65871
NODE_64	75653	77145
NODE_64	104779	105980
NODE_64	130368	131195
NODE_65	1146	3807
NODE_65	38026	40088
NODE_65	47317	49797
NODE_65	83859	84584
NODE_65	95702	97419
NODE_66	600	9452
NODE_66	10633	13019
NODE_66	15230	16848
NODE_66	20624	22440
NODE_66	23727	33074
NODE_66	34360	35204
NODE_66	37786	48240
NODE_66	50094	53669
NODE_66	57279	63569
NODE_66	69558	71600
NODE_66	73429	74690
NODE_66	76085	80925
NODE_66	81918	86291
NODE_66	87393	87737
NODE_66	89962	92961
NODE_66	94132	96694
NODE_66	97494	111298
NODE_66	113967	119417
NODE_66	124870	132163
NODE_66	133728	135156
NODE_66	136732	141975
NODE_66	142792	144707
NODE_66	147256	156984
NODE_66	158724	173762
NODE_67	81899	83542
NODE_67	97783	99291
NODE_67	130861	131987
NODE_67	150512	151803
NODE_68	46438	46780
NODE_70	1	994
NODE_70	3264	4064
NODE_70	4941	7051
NODE_70	10792	11640
NODE_70	15738	16025
NODE_70	22677	24080
NODE_70	27069	29950
NODE_70	36886	37672
NODE_70	41556	41950
NODE_70	57639	58282
NODE_70	60407	62725
NODE_70	70119	71389
NODE_70	73217	74642
NODE_70	77372	77822
NODE_70	80347	80705
NODE_70	81250	82676
NODE_70	83535	84397
NODE_70	85862	86149
NODE_70	87524	88348
NODE_70	95193	96821
NODE_70	98756	100731
NODE_70	106552	108309
NODE_70	110907	114714
NODE_70	120916	121756
NODE_70	129636	130189
NODE_70	138216	138445
NODE_70	140908	142329
NODE_70	148232	149848
NODE_70	155149	155408
NODE_70	162795	162846
NODE_70	163858	164836
NODE_70	172678	172973
NODE_70	174624	175535
NODE_71	4213	4372
NODE_71	8497	8749
NODE_71	13840	14283
NODE_71	20153	20403
NODE_71	23740	24268
NODE_71	27301	27799
NODE_71	29251	29495
NODE_71	32995	33336
NODE_71	61009	61876
NODE_71	64465	64780
NODE_71	65997	66302
NODE_71	69678	70036
NODE_71	72525	73069
NODE_71	81214	81381
NODE_71	85477	85774
NODE_71	88642	88738
NODE_71	91979	92205
NODE_71	93723	94078
NODE_71	103186	105677
NODE_71	110096	110711
NODE_71	117263	119581
NODE_71	121343	121510
NODE_71	122650	124165
NODE_71	131396	131617
NODE_71	133363	133766
NODE_71	135880	136268
NODE_71	137290	138275
NODE_71	139581	139847
NODE_71	145968	146937
NODE_71	148063	150529
NODE_71	156010	156286
NODE_71	157709	158109
NODE_71	159033	160107
NODE_71	165951	166389
NODE_71	167031	168872
NODE_71	170661	170775
NODE_71	172291	172516
NODE_71	175060	176528
NODE_72	3000	3707
NODE_72	4498	5421
NODE_72	7120	8929
NODE_72	9406	10288
NODE_72	18361	19769
NODE_72	22963	23369
NODE_72	26416	27421
NODE_72	28268	28444
NODE_72	29479	29867
NODE_72	32198	32955
NODE_72	35265	36733
NODE_72	56633	57385
NODE_72	61769	62576
NODE_72	64834	65140
NODE_72	73201	73945
NODE_72	76283	76951
NODE_72	77697	77741
NODE_72	84133	85092
NODE_72	87344	87534
NODE_72	90218	90429
NODE_72	91037	91866
NODE_72	92879	93595
NODE_72	94127	94547
NODE_72	95858	95951
NODE_72	100051	100288
NODE_72	103519	104481
NODE_72	112962	113845
NODE_72	116876	117644
NODE_72	121170	121568
NODE_72	126514	126723
NODE_72	128342	128530
NODE_72	133563	133985
NODE_72	140587	140824
NODE_72	143205	143261
NODE_72	146357	147723
NODE_72	151860	152381
NODE_72	153457	154578
NODE_72	161062	162207
NODE_72	167545	168130
NODE_72	169380	171290
NODE_72	172066	172144
NODE_73	1	9825
NODE_73	10858	16705
NODE_73	18444	22827
NODE_73	23748	27108
NODE_73	28950	35580
NODE_73	37130	55512
NODE_73	56741	73688
NODE_73	75515	79008
NODE_73	79812	100728
NODE_73	101775	126741
NODE_73	128536	129318
NODE_73	133621	176528
NODE_74	3642	3730
NODE_74	13037	13307
NODE_74	15272	15782
NODE_74	17566	17824
NODE_74	26902	28314
NODE_74	32211	32988
NODE_74	34885	35401
NODE_74	40374	41393
NODE_74	43674	44110
NODE_74	46285	46380
NODE_74	50230	50965
NODE_74	52651	54031
NODE_74	56180	56635
NODE_74	65091	65559
NODE_74	81753	82394
NODE_74	87083	88695
NODE_74	99176	100418
NODE_74	108863	109149
NODE_74	109809	109937
NODE_74	112149	113343
NODE_74	113809	115435
NODE_74	120867	121832
NODE_74	125681	126548
NODE_74	129586	130300
NODE_74	141104	141452
NODE_74	153051	153360
NODE_74	155873	156449
NODE_74	159848	160437
NODE_74	167798	167965
NODE_74	169793	169920
NODE_74	176413	176528
NODE_75	4002	4865
NODE_75	14023	14500
NODE_75	17320	17858
NODE_75	24728	24976
NODE_75	29334	30036
NODE_75	32606	33905
NODE_75	37491	38812
NODE_75	41284	41404
NODE_75	41853	42235
NODE_75	44335	44459
NODE_75	46438	46601
NODE_75	49001	49188
NODE_75	58455	58757
NODE_75	60395	60549
NODE_75	62093	62229
NODE_75	65734	65868
NODE_75	70486	73056
NODE_75	95457	95702
NODE_75	97201	98967
NODE_75	102153	103312
NODE_75	113191	113737
NODE_75	119994	120752
NODE_75	121522	122393
NODE_75	122784	123027
NODE_75	125900	126528
NODE_75	133674	134231
NODE_75	135610	136212
NODE_75	137151	137868
NODE_75	142358	142439
NODE_75	148666	149037
NODE_75	153500	154557
NODE_75	160135	160491
NODE_75	166712	167870
NODE_75	175839	176528
NODE_76	1	1429
NODE_76	2803	3658
NODE_76	4627	7442
NODE_76	10015	15550
NODE_76	16811	25810
NODE_76	30138	32848
NODE_76	35231	41244
NODE_76	42152	47268
NODE_76	49918	53056
NODE_76	53747	56859
NODE_76	57503	58355
NODE_76	59672	62313
NODE_76	65746	69603
NODE_76	71809	72382
NODE_76	73137	73458
NODE_76	73914	80614
NODE_76	83926	86125
NODE_76	87557	88194
NODE_76	89641	93121
NODE_76	96560	100390
NODE_76	103485	113378
NODE_76	116131	117390
NODE_76	119681	122618
NODE_76	124096	127923
NODE_76	129393	135795
NODE_76	139533	139960
NODE_76	140702	145207
NODE_76	147258	151284
NODE_76	152490	152892
NODE_76	153398	155167
NODE_76	159696	160669
NODE_76	163322	167017
NODE_76	168446	170126
NODE_76	172064	174444
NODE_76	175970	176528
NODE_77	25790	26222
NODE_77	37575	38448
